transaction_id,timestamp,account_id,amount,merchant_category,location_mismatch,device_velocity,is_fraud
TXN_01C337D3FE024AC3,2026-03-07 10:54:09.016910+00:00,ACC_00958,146.93,electronics,0,0,0
TXN_1D7C1A4C75B946E2,2026-03-07 11:15:47.016910+00:00,ACC_00419,89.76,gaming,0,0,0
TXN_AA584B147C404F02,2026-03-07 11:19:52.016910+00:00,ACC_00116,6.03,fuel,0,0,0
TXN_8456003AC32548F4,2026-03-07 11:23:02.016910+00:00,ACC_00804,124.2,hotel,0,0,0
TXN_88ED2665D1254DE1,2026-03-07 11:48:39.016910+00:00,ACC_00661,43.3,gaming,0,0,0
TXN_B8B4FCECF40E4F9E,2026-03-07 13:37:20.016910+00:00,ACC_00056,76.09,pharmacy,0,0,0
TXN_DD52C644E04349CC,2026-03-07 13:39:27.016910+00:00,ACC_00982,35.14,pharmacy,0,0,0
TXN_4F7A03FF19B94A6C,2026-03-07 13:49:36.016910+00:00,ACC_00398,214.38,travel,0,0,0
TXN_AD0F55E6F5FC4B73,2026-03-07 14:24:08.016910+00:00,ACC_00398,195.18,travel,0,1,0
TXN_FC646C9671114354,2026-03-07 14:30:56.016910+00:00,ACC_00398,76.02,pharmacy,0,2,0
TXN_E61E2CCE58524DDE,2026-03-07 15:32:05.016910+00:00,ACC_00398,32.3,grocery,0,0,0
TXN_433EE06279F5427F,2026-03-07 16:03:56.016910+00:00,ACC_00398,140.56,online_services,0,1,0
TXN_C91F589FAFA24B86,2026-03-07 16:26:34.016910+00:00,ACC_00398,36.61,other,0,2,0
TXN_C853730434C242FB,2026-03-07 16:49:38.016910+00:00,ACC_00398,182.39,electronics,0,2,0
TXN_D8CF7F931EA74AE3,2026-03-07 17:17:08.016910+00:00,ACC_00617,325.62,jewelry,0,0,0
TXN_F8FBF274544D4B5B,2026-03-07 17:45:45.016910+00:00,ACC_00054,841.38,electronics,0,0,0
TXN_664CBEB0FF9C4331,2026-03-07 17:50:23.016910+00:00,ACC_00411,84.52,travel,0,0,0
TXN_05D4A4695AA84539,2026-03-07 18:51:03.016910+00:00,ACC_00529,59.25,pharmacy,0,0,0
TXN_7020BFD45F264D11,2026-03-07 20:42:38.016910+00:00,ACC_00812,39.49,online_services,0,0,0
TXN_9AEB9C651DD94C8E,2026-03-07 21:52:28.016910+00:00,ACC_00704,50.26,hotel,0,0,0
TXN_497BD8447E1F41A5,2026-03-07 21:59:51.016910+00:00,ACC_00187,78.0,fuel,0,0,0
TXN_4ADF362654B4409B,2026-03-07 22:26:32.016910+00:00,ACC_00971,10.85,pharmacy,0,0,0
TXN_D2E38E87A15A4B6E,2026-03-07 23:13:56.016910+00:00,ACC_00971,23.38,online_services,0,1,0
TXN_2E9B40D7FCFD407B,2026-03-07 23:41:12.016910+00:00,ACC_00971,43.01,fuel,0,1,0
TXN_0BF7D872E55F4BCF,2026-03-08 00:31:31.016910+00:00,ACC_00971,251.73,hotel,0,1,0
TXN_06DAF87A37E940FB,2026-03-08 01:53:08.016910+00:00,ACC_00971,419.3,jewelry,0,0,0
TXN_52169DA200D4442A,2026-03-08 02:39:32.016910+00:00,ACC_00971,43.43,pharmacy,0,1,0
TXN_661F51BBCCC24D1A,2026-03-08 02:56:12.016910+00:00,ACC_00971,34.44,travel,0,1,0
TXN_1B374E8B23A54E75,2026-03-08 03:43:58.016910+00:00,ACC_00971,31.66,clothing,0,1,0
